product_category,product_name,product_price
Blue Light Blocking Glasses,Florence,$19.95
Blue Light Blocking Glasses,Blake,$54.95
Blue Light Blocking Glasses,Andrew,$19.95
Blue Light Blocking Glasses,Veromca,$29.95
Blue Light Blocking Glasses,Arcadia,$19.95
Blue Light Blocking Glasses,Colorado,$19.95
Blue Light Blocking Glasses,Abbott,$49.95
Blue Light Blocking Glasses,Eugene,$19.95
Blue Light Blocking Glasses,Anniston,$49.95
Blue Light Blocking Glasses,Norma,$29.95
Blue Light Blocking Glasses,Ben,$59.95
Blue Light Blocking Glasses,Scranton,$34.95
Blue Light Blocking Glasses,Niguel,$29.95
Blue Light Blocking Glasses,Charles,$54.95
Blue Light Blocking Glasses,Truman,$29.95
Blue Light Blocking Glasses,Dave,$59.95
Blue Light Blocking Glasses,Duke,$34.95
Blue Light Blocking Glasses,Amanda,$45.95
Blue Light Blocking Glasses,Delia,$54.95
Blue Light Blocking Glasses,Ziv,$24.95
Blue Light Blocking Glasses,Evangeline,$19.95
Blue Light Blocking Glasses,Athena,$19.95
Blue Light Blocking Glasses,Dubuque,$29.95
Blue Light Blocking Glasses,Hedda,$45.95
Blue Light Blocking Glasses,Edgar,$19.95
Blue Light Blocking Glasses,Norwalk,$29.95
Blue Light Blocking Glasses,Acadia,$44.95
Blue Light Blocking Glasses,Goddard,$34.95
Blue Light Blocking Glasses,Mick,$29.95
Blue Light Blocking Glasses,Priscilla,$29.95
Blue Light Blocking Glasses,Georgia,$29.95
Blue Light Blocking Glasses,Gemini,$89.00
Women's Eyeglasses,Hermosa,$29.95
Women's Eyeglasses,Gemma,$19.95
Women's Eyeglasses,Faithe,$19.95
Women's Eyeglasses,Oklahoma,$29.95
Women's Eyeglasses,Elizabeth,$45.95
Women's Eyeglasses,Poughkeepsie,$29.95
Women's Eyeglasses,Maxine,$29.95
Women's Eyeglasses,Joliet,$19.95
Women's Eyeglasses,Hammond,$34.95
Women's Eyeglasses,Rodney,$34.95
Women's Eyeglasses,Wythe,$24.95
Women's Eyeglasses,Allentown,$29.95
Women's Eyeglasses,Laura,$29.95
Women's Eyeglasses,Eileen,$29.95
Women's Eyeglasses,Kensee,$29.95
Women's Eyeglasses,Winston,$14.98
Women's Eyeglasses,Downey,$29.95
Women's Eyeglasses,Moab,$19.95
Women's Eyeglasses,Alto,$29.95
Women's Eyeglasses,Maggie,$19.95
Women's Eyeglasses,Augusta,$29.95
Women's Eyeglasses,Wilmot,$14.98
Women's Eyeglasses,Memphis,$29.95
Women's Eyeglasses,Quintina,$12.48
Women's Eyeglasses,Hannibal,$24.95
Women's Eyeglasses,Verna,$12.95
Women's Eyeglasses,Eunice,$19.95
Women's Eyeglasses,Bess,$49.95
Women's Eyeglasses,Aquarius,$19.95
Women's Eyeglasses,Leona,$19.95
Women's Eyeglasses,Pacific,$44.95
Women's Eyeglasses,Bean,$44.95
Women's Eyeglasses,Brentwood,$14.98
Women's Eyeglasses,Ithaca,$24.94
Women's Eyeglasses,Jennifer,$39.95
Women's Eyeglasses,Alice,$44.95
Women's Eyeglasses,Aries,$29.95
Women's Eyeglasses,Dawn,$39.95
Women's Eyeglasses,Racine,$44.95
Women's Eyeglasses,Elmira,$24.94
Women's Eyeglasses,Harvey,$29.95
Women's Eyeglasses,Wheaton,$44.95
Women's Eyeglasses,Beloit,$49.95
Women's Eyeglasses,Iris,$54.95
Women's Eyeglasses,Eve,$29.95
Women's Eyeglasses,Alton,$49.95
Women's Eyeglasses,Madge,$29.95
Women's Eyeglasses,Arad,$34.95
Women's Eyeglasses,Eureka,$29.95
Women's Eyeglasses,Irene,$39.95
Women's Eyeglasses,Camden,$44.95
Women's Eyeglasses,Letitia,$29.95
Women's Eyeglasses,Jodie,$29.95
Women's Eyeglasses,Gabrielle,$29.95
Women's Eyeglasses,Scottsdale,$29.95
Blue block pro,Eartha,$29.95
Blue block pro,Bishop,$29.95
Blue block pro,Peabody,$29.95
