name,price,url
Defender,$19.95,https://www.glassesshop.com/eyeglasses/fp2308
Gail,$54.95,https://www.glassesshop.com/eyeglasses/ft0475
Methuen,$34.95,https://www.glassesshop.com/eyeglasses/fz1421
Frederick,$29.95,https://www.glassesshop.com/eyeglasses/fz1471
Daikon,$34.95,https://www.glassesshop.com/eyeglasses/fz1708
Alva,$44.95,https://www.glassesshop.com/eyeglasses/ft0516
Paterson,$45.95,https://www.glassesshop.com/eyeglasses/ft0520
Hermosa,$29.95,https://www.glassesshop.com/eyeglasses/st0248
Oklahoma,$29.95,https://www.glassesshop.com/eyeglasses/fz1581
Gemma,$19.95,https://www.glassesshop.com/eyeglasses/fm1614
Elizabeth,$45.95,https://www.glassesshop.com/eyeglasses/ft0517
Poughkeepsie,$29.95,https://www.glassesshop.com/eyeglasses/ft0528
Faithe,$19.95,https://www.glassesshop.com/eyeglasses/fm1559
Carl,$29.95,https://www.glassesshop.com/eyeglasses/fm1492
Joliet,$19.95,https://www.glassesshop.com/eyeglasses/fz1614
Wythe,$24.95,https://www.glassesshop.com/eyeglasses/fp2481
Hammond,$34.95,https://www.glassesshop.com/eyeglasses/fz1612
Augus,$29.95,https://www.glassesshop.com/eyeglasses/fp2531
Rodney,$34.95,https://www.glassesshop.com/eyeglasses/ft0500
Abraham,$29.95,https://www.glassesshop.com/eyeglasses/fp2528
Allentown,$29.95,https://www.glassesshop.com/eyeglasses/rm0294
Eileen,$29.95,https://www.glassesshop.com/eyeglasses/fp2355
Kensee,$29.95,https://www.glassesshop.com/eyeglasses/ft0462
Winston,$14.98,https://www.glassesshop.com/eyeglasses/fz1867
Wilmot,$14.98,https://www.glassesshop.com/eyeglasses/fz1870
Benedict,$59.95,https://www.glassesshop.com/eyeglasses/ft0401
Downey,$29.95,https://www.glassesshop.com/eyeglasses/fz1543
Moab,$19.95,https://www.glassesshop.com/eyeglasses/fz1535
Laura,$29.95,https://www.glassesshop.com/eyeglasses/fp2255
Maggie,$19.95,https://www.glassesshop.com/eyeglasses/fz1509
Alto,$29.95,https://www.glassesshop.com/eyeglasses/fz1551
Augusta,$29.95,https://www.glassesshop.com/eyeglasses/fz1497
Brentwood,$14.98,https://www.glassesshop.com/eyeglasses/spfm035
Allen,$29.95,https://www.glassesshop.com/eyeglasses/sm0899
Quintina,$12.48,https://www.glassesshop.com/eyeglasses/fp2571
Memphis,$29.95,https://www.glassesshop.com/eyeglasses/fz1739
Hannibal,$24.95,https://www.glassesshop.com/eyeglasses/fp2354
Alexander,$19.95,https://www.glassesshop.com/eyeglasses/fm1486
Eunice,$19.95,https://www.glassesshop.com/eyeglasses/fz1610
Verna,$12.95,https://www.glassesshop.com/eyeglasses/fm1581
Bess,$49.95,https://www.glassesshop.com/eyeglasses/fz1755
Aquarius,$19.95,https://www.glassesshop.com/eyeglasses/fm1448
Leona,$19.95,https://www.glassesshop.com/eyeglasses/fm1605
Pacific,$44.95,https://www.glassesshop.com/eyeglasses/ft0512
Bean,$44.95,https://www.glassesshop.com/eyeglasses/ft0539
Ithaca,$24.94,https://www.glassesshop.com/eyeglasses/fp2296
Alice,$44.95,https://www.glassesshop.com/eyeglasses/ft0452
Dawn,$39.95,https://www.glassesshop.com/eyeglasses/fm1421
City,$79.00,https://www.glassesshop.com/eyeglasses/fz1599
Lancaster,$29.95,https://www.glassesshop.com/eyeglasses/fz1821
Adrian,$19.95,https://www.glassesshop.com/eyeglasses/fm1660
Barrie,$19.95,https://www.glassesshop.com/eyeglasses/fp2366
Martha,$19.95,https://www.glassesshop.com/eyeglasses/fm1642
Hatteras,$29.95,https://www.glassesshop.com/eyeglasses/fp2131
Flint,$19.95,https://www.glassesshop.com/eyeglasses/fz1474
Sherman,$44.95,https://www.glassesshop.com/eyeglasses/st0250
Florence,$19.95,https://www.glassesshop.com/eyeglasses/fp2137
Blake,$54.95,https://www.glassesshop.com/eyeglasses/ft0479
Andrew,$19.95,https://www.glassesshop.com/eyeglasses/fp2364
Colusa,$29.95,https://www.glassesshop.com/eyeglasses/fz1842
Christ,$29.95,https://www.glassesshop.com/eyeglasses/fp2539
Arcadia,$19.95,https://www.glassesshop.com/eyeglasses/fz1547
Abbott,$49.95,https://www.glassesshop.com/eyeglasses/ft0509
Colorado,$19.95,https://www.glassesshop.com/eyeglasses/fm1540
Eugene,$19.95,https://www.glassesshop.com/eyeglasses/fp2388
Amanda,$45.95,https://www.glassesshop.com/eyeglasses/fz1864
Anniston,$49.95,https://www.glassesshop.com/eyeglasses/ft0449
Ziv,$24.95,https://www.glassesshop.com/eyeglasses/fp2476
April,$14.98,https://www.glassesshop.com/eyeglasses/spfm023
Atwood,$14.98,https://www.glassesshop.com/eyeglasses/spfm026
Scranton,$34.95,https://www.glassesshop.com/eyeglasses/ft0416
Delia,$54.95,https://www.glassesshop.com/eyeglasses/st0245
Ben,$29.95,https://www.glassesshop.com/eyeglasses/ft0433
Niguel,$29.95,https://www.glassesshop.com/eyeglasses/fz1626
Charles,$54.95,https://www.glassesshop.com/eyeglasses/st0253
Truman,$29.95,https://www.glassesshop.com/eyeglasses/sm0913
Covina,$29.95,https://www.glassesshop.com/eyeglasses/fz1824
Dave,$59.95,https://www.glassesshop.com/eyeglasses/rm0289
Priscilla,$29.95,https://www.glassesshop.com/eyeglasses/fz1577
Duke,$34.95,https://www.glassesshop.com/eyeglasses/fz1704
Placerville,$29.95,https://www.glassesshop.com/eyeglasses/fz1831
Evangeline,$19.95,https://www.glassesshop.com/eyeglasses/fp2160
Athena,$19.95,https://www.glassesshop.com/eyeglasses/fp2334
Dubuque,$29.95,https://www.glassesshop.com/eyeglasses/fz1686
Hedda,$45.95,https://www.glassesshop.com/eyeglasses/ft0537
Sagittarius,$19.95,https://www.glassesshop.com/eyeglasses/fm1438
Edwina,$12.95,https://www.glassesshop.com/eyeglasses/fp2398
Montgomery,$12.95,https://www.glassesshop.com/eyeglasses/fp2393
Crescent,$29.95,https://www.glassesshop.com/eyeglasses/fz1837
DelRio,$29.95,https://www.glassesshop.com/eyeglasses/fz1701
Jacqueline,$35.95,https://www.glassesshop.com/eyeglasses/fz1887
Sacramento,$24.95,https://www.glassesshop.com/eyeglasses/fz1764
Clara,$24.95,https://www.glassesshop.com/eyeglasses/fp2465
Phoebe,$12.95,https://www.glassesshop.com/eyeglasses/fz1789
Jocelyn,$34.94,https://www.glassesshop.com/eyeglasses/fm1708
Wichita,$79.00,https://www.glassesshop.com/eyeglasses/fz1681
Astoria,$69.00,https://www.glassesshop.com/eyeglasses/fz1726
Jodian,$34.95,https://www.glassesshop.com/eyeglasses/fp2311
Betty,$29.95,https://www.glassesshop.com/eyeglasses/sm0928
Capricorn,$79.00,https://www.glassesshop.com/eyeglasses/fz1674
Dempsey,$34.95,https://www.glassesshop.com/eyeglasses/sm0891
Saxton,$89.00,https://www.glassesshop.com/eyeglasses/fm1497
Mildred,$19.95,https://www.glassesshop.com/eyeglasses/fm1547
Charley,$44.95,https://www.glassesshop.com/eyeglasses/ft0505
Cynthia,$34.95,https://www.glassesshop.com/eyeglasses/fm1481
Alexia,$39.95,https://www.glassesshop.com/eyeglasses/ft0493
Dorado,$24.95,https://www.glassesshop.com/eyeglasses/fp2427
Lima,$45.95,https://www.glassesshop.com/eyeglasses/ft0531
Howard,$5.95,https://www.glassesshop.com/eyeglasses/fm1525
Beaumont,$19.95,https://www.glassesshop.com/eyeglasses/fp2422
Queena,$19.95,https://www.glassesshop.com/eyeglasses/fz1585
Blair,$29.95,https://www.glassesshop.com/eyeglasses/fm1655
McAlester,$19.95,https://www.glassesshop.com/eyeglasses/fp2361
Amiens,$14.98,https://www.glassesshop.com/eyeglasses/fz1920
ElDorado,$19.95,https://www.glassesshop.com/eyeglasses/fm1647
Kristin,$29.95,https://www.glassesshop.com/eyeglasses/fp2410
Warrenville,$49.95,https://www.glassesshop.com/eyeglasses/ft0564
Kama,$24.95,https://www.glassesshop.com/eyeglasses/fp2552
Pendleton,$29.95,https://www.glassesshop.com/eyeglasses/fp2204
Mill,$64.95,https://www.glassesshop.com/eyeglasses/ft0444
Silber,$24.95,https://www.glassesshop.com/eyeglasses/fm1182
Barlow,$29.95,https://www.glassesshop.com/eyeglasses/sm0934
Newport,$45.95,https://www.glassesshop.com/eyeglasses/spfm009
Berkeley,$14.98,https://www.glassesshop.com/eyeglasses/spfm031
Marian,$29.95,https://www.glassesshop.com/eyeglasses/fz1691
Lee,$24.95,https://www.glassesshop.com/eyeglasses/fp2555
Sioux,$12.95,https://www.glassesshop.com/eyeglasses/fp2251
Reuben,$29.95,https://www.glassesshop.com/eyeglasses/fz1782
Milwaukee,$29.95,https://www.glassesshop.com/eyeglasses/fm1662
Spokane,$29.95,https://www.glassesshop.com/eyeglasses/fz1890
Luther,$19.95,https://www.glassesshop.com/eyeglasses/sm0854
Macon,$29.95,https://www.glassesshop.com/eyeglasses/fz1661
Paine clip-on,$44.95,https://www.glassesshop.com/eyeglasses/fp1133
Guelph,$12.95,https://www.glassesshop.com/eyeglasses/fp2003
Jenny,$29.95,https://www.glassesshop.com/eyeglasses/fp2404
Hilda,$35.95,https://www.glassesshop.com/eyeglasses/fz1886
Otis,$19.95,https://www.glassesshop.com/eyeglasses/fp1742
Edgar,$19.95,https://www.glassesshop.com/eyeglasses/fm1453
Lubbock,$24.95,https://www.glassesshop.com/eyeglasses/fp2178
Adela,$54.95,https://www.glassesshop.com/eyeglasses/rm0293
Constance,$29.95,https://www.glassesshop.com/eyeglasses/fz1878
Bevis,$79.00,https://www.glassesshop.com/eyeglasses/fm1494
Alpine,$29.95,https://www.glassesshop.com/eyeglasses/fz1854
Theresa,$24.95,https://www.glassesshop.com/eyeglasses/fp2499
Malcolm,$9.95,https://www.glassesshop.com/eyeglasses/fz1802
Beck,$19.95,https://www.glassesshop.com/eyeglasses/fp2239
Chico,$19.95,https://www.glassesshop.com/eyeglasses/fp2460
Steven,$34.95,https://www.glassesshop.com/eyeglasses/fz1774
Paul,$14.98,https://www.glassesshop.com/eyeglasses/fm1707
Jefferson,$2.99,https://www.glassesshop.com/eyeglasses/fm1631
Walla,$44.95,https://www.glassesshop.com/eyeglasses/ft0421
Emma,$12.95,https://www.glassesshop.com/eyeglasses/fm1552
Wilsen,$29.95,https://www.glassesshop.com/eyeglasses/fz1315
Asheboro,$29.95,https://www.glassesshop.com/eyeglasses/fz1579
Jill,$19.95,https://www.glassesshop.com/eyeglasses/fp2506
Hattiesburg,$24.95,https://www.glassesshop.com/eyeglasses/fp2112
Igemar,$29.95,https://www.glassesshop.com/eyeglasses/fm1258
Andrea,$29.95,https://www.glassesshop.com/eyeglasses/fp2517
Ansel,$19.95,https://www.glassesshop.com/eyeglasses/fm1308
Bellaire,$12.95,https://www.glassesshop.com/eyeglasses/fp2174
Persol,$19.95,https://www.glassesshop.com/eyeglasses/fp1858
LaSalle,$19.95,https://www.glassesshop.com/eyeglasses/fp2052
Americus,$12.95,https://www.glassesshop.com/eyeglasses/fp2082
Manhattan,$44.95,https://www.glassesshop.com/eyeglasses/ft0424
Omma,$44.95,https://www.glassesshop.com/eyeglasses/ft0346
Baker,$19.95,https://www.glassesshop.com/eyeglasses/fz1553
Windsor,$19.95,https://www.glassesshop.com/eyeglasses/fp2212
Raleigh,$19.95,https://www.glassesshop.com/eyeglasses/fm1508
Lauderdale,$24.95,https://www.glassesshop.com/eyeglasses/fp2473
Claude,$29.95,https://www.glassesshop.com/eyeglasses/fp2216
Grove,$29.95,https://www.glassesshop.com/eyeglasses/fp2220
Osmond,$19.95,https://www.glassesshop.com/eyeglasses/fp1735
Dana,$19.95,https://www.glassesshop.com/eyeglasses/fp1838
Gary,$29.95,https://www.glassesshop.com/eyeglasses/fz1684
Page,$29.95,https://www.glassesshop.com/eyeglasses/fp2524
Carrie,$24.95,https://www.glassesshop.com/eyeglasses/fm1252
Love,$44.95,https://www.glassesshop.com/eyeglasses/fz1725
Barret,$29.95,https://www.glassesshop.com/eyeglasses/fm1566
